Pixels,Controle1,Omo1,Sabao1,Vanish1,Candida1
389,176.58,166.57,168.26,160.99,159.76
390,166.62,167.62,168.37,161.72,161.77
391,162.64,169.65,167.96,162.56,162.34
392,167.15,170.88,168.58,164.07,162.47
393,173.56,167.84,167.96,163.96,161.1
394,179.93,166.49,166.65,163.9,159.85
395,181.49,168.58,165.61,163.32,159.29
396,174.8,170.63,167.36,163.58,159.41
397,168.29,171.8,167.96,162.39,159.64
398,167.23,172,168.98,162.96,161.04
399,170.68,166.89,167.42,162.25,161.3
400,176.28,163.58,166.17,163.53,161.43
401,182.45,165.75,165.92,162.89,161.06
402,181.25,169.63,165.62,163.01,160.63
403,178.08,171.97,165.8,162.79,160.24
404,169.51,169.84,168.51,163.86,159.83
405,162.66,165.96,169.65,163.63,160.16
406,164.45,166.47,169.81,163.56,161.16
407,171.99,169.03,167.62,161.83,160.93
408,179.32,173.58,166.09,161.28,160.57
409,181.96,171.98,165.88,161.49,160.09
410,175.02,168.31,166.65,163.48,159.88
411,167.75,165.28,167.25,164.37,160.55
412,165.31,165.68,169.47,163.97,160.81
413,169.21,170.41,168.03,163.53,160.31
414,176.08,173.11,165.93,163.68,160.65
415,181.71,170.3,163.69,163.24,159.96
416,180.12,168.02,165.05,164.78,158.51
417,173.8,165.78,167.51,164.7,157.49
418,166.33,167.63,169.57,163.56,157.58
419,165.16,171.8,169.36,162.63,159.31
420,167.37,173.08,168.69,162.61,160.38
421,172.95,168.86,166.2,162.65,159.37
422,178.5,166.7,166.1,163.1,159.38
423,180.99,166.87,165.58,162.99,158.58
424,174.61,170.14,166.86,162.51,158.87
425,167.92,171.34,168.42,163.08,158.91
426,166.44,169.36,168.46,164.13,159.46
427,170.38,166.51,167.09,163.74,160.69
428,175.42,166.82,165.8,162.9,160.81
429,179.86,169.93,164.26,162.41,158.86
430,178.83,174.21,166.77,162.92,158.73
431,173.17,171.68,169.1,163.2,157.44
432,166.71,167.76,170.24,163.25,158.63
433,164.49,164.19,169.21,162.81,160.04
434,169.21,165.21,167.21,162.64,160.46
435,176.27,170.05,163.99,162.87,159.38
436,179.4,170.83,164.08,162.69,158.03
437,178.78,167.1,164.71,162.22,156.17
438,174.17,166.49,167.28,161.76,156.76
439,169.3,167.95,169.12,161.34,157.89
440,169.68,171.67,170.24,163.48,160.09
441,171.34,171.18,169.26,162.44,160.98
442,174.16,169.13,166.01,161.82,160.5
443,177.88,166.75,164.74,161.69,159.5
444,175.25,167.21,165.41,162.05,158.36
445,169.49,169.26,167.57,162.62,157.49
446,166.07,172.1,169.02,162.81,158.81
447,167.56,169.64,169.19,161.75,158.71
448,172.75,166.44,167.84,161.9,158.95
449,178.17,165.95,165.44,161.4,157.58
450,178.37,169.24,164.3,161.7,157.51
