Grupos,Controle_2
Vanish_2,186.16
Vanish_2,185.92
Vanish_2,186.21
Vanish_2,185.64
Vanish_2,185.93
Vanish_2,187.28
Vanish_2,187.14
Vanish_2,186.81
Vanish_2,186.58
Vanish_2,187.09
Vanish_2,187.36
Vanish_2,186.62
Vanish_2,187.36
Vanish_2,187.42
Vanish_2,188.28
Vanish_2,188.60
Vanish_2,188.63
Vanish_2,188.25
Vanish_2,187.50
Vanish_2,186.61
Vanish_2,186.82
Vanish_2,187.20
Vanish_2,187.26
Vanish_2,187.40
Vanish_2,187.10
Vanish_2,186.76
Vanish_2,186.60
Vanish_2,186.81
Vanish_2,186.77
Vanish_2,186.51
Vanish_2,186.49
Vanish_2,187.39
Vanish_2,187.38
Vanish_2,187.57
Vanish_2,187.90
Vanish_2,187.34
Vanish_2,187.56
Vanish_2,187.85
Vanish_2,187.66
Vanish_2,187.92
Vanish_2,188.10
Vanish_2,187.69
Vanish_2,188.01
Vanish_2,187.03
Vanish_2,186.65
Vanish_2,186.90
Vanish_2,186.99
Vanish_2,187.45
Vanish_2,187.38
Vanish_2,187.23
Vanish_2,187.55
Vanish_2,186.90
Vanish_2,187.07
Sabao_2,157.81
Sabao_2,157.09
Sabao_2,156.52
Sabao_2,155.01
Sabao_2,154.16
Sabao_2,154.16
Sabao_2,154.46
Sabao_2,155.12
Sabao_2,155.93
Sabao_2,155.68
Sabao_2,157.04
Sabao_2,157.67
Sabao_2,158.09
Sabao_2,157.77
Sabao_2,156.41
Sabao_2,155.78
Sabao_2,155.17
Sabao_2,154.50
Sabao_2,154.59
Sabao_2,155.05
Sabao_2,155.67
Sabao_2,156.08
Sabao_2,157.56
Sabao_2,158.37
Sabao_2,158.75
Sabao_2,158.33
Sabao_2,158.31
Sabao_2,157.13
Sabao_2,155.85
Sabao_2,155.62
Sabao_2,155.02
Sabao_2,155.12
Sabao_2,155.48
Sabao_2,155.62
Sabao_2,157.04
Sabao_2,157.62
Sabao_2,157.72
Sabao_2,157.63
Sabao_2,157.29
Sabao_2,156.21
Sabao_2,155.27
Sabao_2,155.25
Sabao_2,154.97
Sabao_2,155.91
Sabao_2,156.09
Sabao_2,155.46
Sabao_2,155.95
Sabao_2,157.99
Sabao_2,158.77
Sabao_2,158.09
Sabao_2,157.61
Sabao_2,156.80
Sabao_2,155.60
